precision,latency_sec,tokens_per_sec,peak_mem_gb,error
fp16,0.4813773659989238,12.46423372554956,0.5422663688659668,
int8,0.39605980401393026,17.67409853021539,0.39183807373046875,
4bit,0.24281220801640302,37.065681637358246,0.3211946487426758,
