precision,latency_sec,tokens_per_sec,peak_mem_gb,error
fp16,1.5869075559312478,40.330011512512314,5.208441257476807,
int8,2.9875324319582433,21.422361583552686,2.8716516494750977,
4bit,2.4931708110962063,25.670122446147303,1.7615246772766113,
